epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2621.65,1.03506,2.49881,1.33998,1.28098,0.43097,0.40417,0.36076,0.26323,0.37403,0.35074,0.29111,0.18547,1.20731,2.82089,1.95104,1.46105,0.006106,0.006106,0.006106
61,2666.91,1.04188,2.50436,1.32756,1.28467,0.46754,0.40066,0.37636,0.27609,0.42012,0.34878,0.30238,0.19168,1.17616,2.81284,1.91188,1.44175,0.00604,0.00604,0.00604
62,2711.86,1.03378,2.48962,1.33635,1.27692,0.45423,0.40023,0.38044,0.2797,0.43379,0.343,0.31222,0.19773,1.18802,2.81319,1.91056,1.45217,0.005974,0.005974,0.005974
63,2756.77,1.03565,2.45359,1.32509,1.27748,0.46115,0.38305,0.37552,0.27139,0.42582,0.31561,0.29423,0.18743,1.19116,2.88319,1.91661,1.44738,0.005908,0.005908,0.005908
64,2805.19,1.02743,2.46419,1.31266,1.27234,0.46889,0.39705,0.37591,0.27499,0.41224,0.34742,0.30377,0.18887,1.18648,2.84097,1.93091,1.43895,0.005842,0.005842,0.005842
65,2851.24,1.0255,2.44108,1.30083,1.26489,0.46285,0.41734,0.38876,0.28583,0.39335,0.35687,0.30345,0.19366,1.18216,2.9396,1.88144,1.44688,0.005776,0.005776,0.005776
66,2897.3,1.01,2.45252,1.27434,1.26522,0.45672,0.40855,0.36816,0.26826,0.44845,0.32423,0.29298,0.18777,1.19011,2.85747,1.96052,1.4456,0.00571,0.00571,0.00571
67,2943.69,1.01717,2.41793,1.29217,1.26792,0.44641,0.41857,0.3792,0.28061,0.37903,0.35398,0.29984,0.19579,1.18245,2.87408,1.93793,1.44553,0.005644,0.005644,0.005644
68,2990.09,1.01657,2.44431,1.28914,1.26718,0.49283,0.39179,0.36929,0.27194,0.43774,0.33713,0.28491,0.18327,1.18295,2.92502,1.96776,1.44197,0.005578,0.005578,0.005578
69,3036.22,1.01477,2.41179,1.27798,1.26463,0.50887,0.39031,0.37983,0.28003,0.44896,0.33044,0.29784,0.18922,1.18685,2.93427,1.92978,1.45059,0.005512,0.005512,0.005512
70,3082.14,1.02417,2.45592,1.27426,1.26377,0.47137,0.42085,0.37757,0.27809,0.40581,0.3635,0.30304,0.19317,1.17687,2.84488,1.94086,1.44222,0.005446,0.005446,0.005446
71,3128.56,1.00674,2.42156,1.26168,1.25886,0.48974,0.38595,0.37265,0.27741,0.42749,0.32908,0.29753,0.19406,1.18232,2.83114,1.93999,1.44707,0.00538,0.00538,0.00538
72,3175.02,1.01265,2.4278,1.26097,1.26412,0.47377,0.39339,0.3675,0.26771,0.43461,0.32088,0.2847,0.18256,1.18867,2.9016,1.95422,1.44272,0.005314,0.005314,0.005314
73,3220.57,1.01114,2.40303,1.26098,1.25913,0.45,0.42574,0.37773,0.27669,0.46449,0.31505,0.29327,0.18897,1.18729,2.89121,1.94287,1.4528,0.005248,0.005248,0.005248
74,3264.42,0.99688,2.38784,1.23702,1.25181,0.4461,0.41229,0.36912,0.27301,0.38806,0.33933,0.28403,0.18453,1.16713,2.97028,1.97044,1.44739,0.005182,0.005182,0.005182
75,3308.9,0.98999,2.36626,1.2324,1.24649,0.47562,0.40845,0.36964,0.27474,0.42317,0.33172,0.28734,0.18287,1.19189,2.95222,1.94578,1.44966,0.005116,0.005116,0.005116
76,3354.75,0.99799,2.40334,1.24045,1.2501,0.46032,0.40518,0.36893,0.27486,0.38789,0.34818,0.29065,0.18517,1.17638,2.98538,1.9605,1.45483,0.00505,0.00505,0.00505
77,3400.61,1.00359,2.39202,1.23267,1.25421,0.44679,0.41284,0.3767,0.28114,0.4345,0.31767,0.29591,0.19078,1.17161,2.97454,1.96427,1.44069,0.004984,0.004984,0.004984
78,3446.41,0.98974,2.35406,1.20511,1.24303,0.50334,0.38127,0.37843,0.27699,0.43004,0.3272,0.29681,0.19289,1.16223,2.92399,1.96013,1.43153,0.004918,0.004918,0.004918
79,3491.59,1.00892,2.37278,1.23201,1.25657,0.51723,0.38703,0.37733,0.28084,0.44858,0.33843,0.30423,0.19655,1.18557,2.90036,1.96485,1.4415,0.004852,0.004852,0.004852
80,3536.72,0.9907,2.37402,1.22062,1.24887,0.50172,0.38478,0.37366,0.2814,0.4085,0.33185,0.29088,0.18791,1.17004,2.96242,1.95878,1.4268,0.004786,0.004786,0.004786
81,3581.03,0.97994,2.33773,1.19373,1.23725,0.50412,0.37911,0.37403,0.27929,0.42715,0.32868,0.29258,0.19062,1.16377,2.99886,1.98987,1.42789,0.00472,0.00472,0.00472
82,3623.57,0.99026,2.36285,1.19284,1.2413,0.52077,0.36293,0.37375,0.27797,0.46384,0.31742,0.30254,0.19525,1.18182,2.97161,1.98556,1.43665,0.004654,0.004654,0.004654
83,3666.27,0.97477,2.3534,1.18356,1.23602,0.46474,0.39244,0.36723,0.27405,0.40472,0.34701,0.29282,0.18579,1.17561,3.02975,1.99993,1.44069,0.004588,0.004588,0.004588
84,3708.95,0.97908,2.3285,1.17618,1.23141,0.4817,0.39115,0.38064,0.28511,0.42619,0.33892,0.29576,0.18923,1.19131,2.99701,2.0071,1.46197,0.004522,0.004522,0.004522
85,3752.32,0.98046,2.35531,1.17285,1.23209,0.46295,0.3899,0.37594,0.28208,0.42392,0.33614,0.30125,0.19268,1.16139,2.96274,2.00317,1.42788,0.004456,0.004456,0.004456
86,3796.66,0.97155,2.30697,1.16535,1.22302,0.47555,0.38061,0.3692,0.27676,0.42313,0.34285,0.30134,0.1914,1.17089,3.0002,2.00251,1.43453,0.00439,0.00439,0.00439
87,3842.07,0.97676,2.33774,1.16234,1.23253,0.50763,0.39036,0.37454,0.2804,0.43363,0.33835,0.29451,0.1867,1.17233,2.95793,1.99168,1.44135,0.004324,0.004324,0.004324
88,3887.44,0.97051,2.31063,1.1688,1.23143,0.46541,0.39883,0.36585,0.2755,0.45288,0.31333,0.28762,0.18178,1.17603,3.00655,1.99669,1.43998,0.004258,0.004258,0.004258
89,3932.81,0.96695,2.30835,1.15678,1.22695,0.49148,0.38201,0.36732,0.27407,0.43134,0.32972,0.28819,0.17897,1.17688,3.03492,2.01698,1.44542,0.004192,0.004192,0.004192
90,3977.15,0.96796,2.30701,1.15529,1.22674,0.48743,0.39987,0.37212,0.27988,0.42734,0.34321,0.29589,0.18699,1.17441,2.98691,1.97533,1.43712,0.004126,0.004126,0.004126
91,4021.6,0.96146,2.29915,1.14373,1.22097,0.49561,0.39852,0.37818,0.28514,0.4343,0.34352,0.3001,0.19171,1.17182,2.98815,1.96097,1.44053,0.00406,0.00406,0.00406
92,4066.02,0.96181,2.27245,1.13674,1.22832,0.47058,0.39096,0.37199,0.277,0.42425,0.32457,0.28997,0.18436,1.17517,2.9873,2.01317,1.44437,0.003994,0.003994,0.003994
93,4111.1,0.96069,2.25723,1.12606,1.22222,0.51154,0.38275,0.37663,0.28368,0.45498,0.32307,0.30355,0.19295,1.16767,2.97865,2.00531,1.43103,0.003928,0.003928,0.003928
94,4155.81,0.97034,2.26407,1.12461,1.22383,0.49428,0.39186,0.37563,0.2834,0.43423,0.33878,0.30713,0.19742,1.17962,2.9713,1.9853,1.4379,0.003862,0.003862,0.003862
95,4200.52,0.94454,2.24396,1.1211,1.22028,0.47487,0.41207,0.37357,0.27943,0.42707,0.35645,0.30435,0.1932,1.17634,2.97627,1.98103,1.4369,0.003796,0.003796,0.003796
96,4245.36,0.96412,2.28187,1.14055,1.22723,0.4713,0.40274,0.37374,0.27896,0.40997,0.35079,0.29757,0.1882,1.1739,2.99494,2.00084,1.43968,0.00373,0.00373,0.00373
97,4290.63,0.95611,2.26913,1.11937,1.21507,0.5359,0.36674,0.37268,0.28077,0.45761,0.317,0.29295,0.18883,1.17393,2.99497,1.98732,1.44426,0.003664,0.003664,0.003664
98,4334.43,0.95153,2.26249,1.11441,1.21554,0.49415,0.38664,0.36885,0.27683,0.43941,0.32028,0.28874,0.18476,1.17798,3.02971,2.0188,1.44746,0.003598,0.003598,0.003598
99,4377.34,0.94543,2.24687,1.1053,1.2111,0.45086,0.41697,0.37298,0.27979,0.45799,0.31594,0.29542,0.18658,1.18239,3.03852,2.00697,1.44941,0.003532,0.003532,0.003532
100,4420.21,0.94552,2.24901,1.10112,1.21468,0.48283,0.38444,0.36603,0.27551,0.43311,0.32181,0.29057,0.18281,1.17976,3.03868,2.02639,1.4502,0.003466,0.003466,0.003466
101,4462.53,0.95427,2.2467,1.10195,1.21884,0.49079,0.39687,0.37278,0.27939,0.42401,0.33872,0.29896,0.18631,1.18267,3.0449,2.02161,1.44744,0.0034,0.0034,0.0034
102,4505.09,0.93828,2.21978,1.09142,1.20755,0.49147,0.4012,0.37534,0.27955,0.41656,0.33618,0.29346,0.1845,1.17486,3.03886,2.00706,1.44604,0.003334,0.003334,0.003334
103,4547.65,0.94115,2.23104,1.09714,1.20774,0.48723,0.4064,0.37662,0.28181,0.41533,0.34476,0.29419,0.18611,1.17952,3.0485,2.01412,1.45003,0.003268,0.003268,0.003268
104,4590.25,0.9431,2.24476,1.08457,1.21159,0.49289,0.37998,0.37311,0.28027,0.42476,0.32419,0.29132,0.18512,1.17719,3.04991,2.03108,1.44291,0.003202,0.003202,0.003202
105,4632.74,0.92848,2.21659,1.06326,1.19775,0.46859,0.40182,0.37597,0.28312,0.41183,0.33598,0.29569,0.18783,1.18229,3.05028,2.04041,1.44671,0.003136,0.003136,0.003136
106,4675.13,0.93444,2.18326,1.06077,1.20332,0.47864,0.39458,0.37384,0.28023,0.42608,0.33463,0.29697,0.18815,1.17613,3.01725,2.03562,1.44133,0.00307,0.00307,0.00307
107,4719.89,0.92381,2.19686,1.05679,1.19351,0.49018,0.39666,0.374,0.2794,0.41899,0.34126,0.29523,0.18532,1.18234,2.99149,2.03027,1.44438,0.003004,0.003004,0.003004
108,4764.31,0.93028,2.19054,1.05835,1.19801,0.49702,0.39007,0.37083,0.27874,0.42543,0.3365,0.2978,0.18615,1.18207,2.98759,2.04634,1.44861,0.002938,0.002938,0.002938
109,4809.01,0.93078,2.1952,1.05544,1.20062,0.45139,0.40606,0.37011,0.27859,0.45519,0.30725,0.29535,0.18709,1.17854,3.02185,2.05779,1.44492,0.002872,0.002872,0.002872
110,4853.56,0.9242,2.18635,1.04617,1.19939,0.49763,0.38086,0.36619,0.27775,0.43223,0.32073,0.291,0.18728,1.17551,3.06161,2.06272,1.44191,0.002806,0.002806,0.002806
111,4897.58,0.93018,2.19179,1.05677,1.19871,0.51237,0.37014,0.36368,0.27489,0.45048,0.31906,0.29453,0.1855,1.18297,3.10723,2.06582,1.44378,0.00274,0.00274,0.00274
112,4940.91,0.92151,2.17055,1.04323,1.19061,0.4658,0.40434,0.36295,0.27545,0.40116,0.34097,0.28639,0.18468,1.1831,3.10295,2.06683,1.45042,0.002674,0.002674,0.002674
113,4986.17,0.91715,2.16607,1.03946,1.19275,0.48819,0.38244,0.36251,0.27353,0.41238,0.32512,0.2896,0.18628,1.18658,3.10288,2.07763,1.45432,0.002608,0.002608,0.002608
114,5031.25,0.91876,2.17676,1.0439,1.19224,0.53774,0.36636,0.36691,0.27561,0.45347,0.31384,0.2974,0.19054,1.18524,3.11299,2.07612,1.45321,0.002542,0.002542,0.002542
115,5076.26,0.91216,2.13304,1.02077,1.18596,0.537,0.35708,0.3612,0.27571,0.46694,0.30513,0.29569,0.18993,1.19175,3.1218,2.08383,1.46208,0.002476,0.002476,0.002476
116,5120.78,0.91136,2.17028,1.03356,1.18446,0.51886,0.36605,0.36293,0.27525,0.4429,0.31584,0.29348,0.18711,1.19147,3.1308,2.08448,1.46091,0.00241,0.00241,0.00241
117,5165.96,0.90922,2.18649,1.02855,1.18507,0.51435,0.3704,0.36446,0.27778,0.43523,0.31692,0.29581,0.18882,1.18679,3.14737,2.09275,1.45712,0.002344,0.002344,0.002344
118,5211.05,0.92165,2.17467,1.02496,1.19045,0.54476,0.36233,0.36835,0.28004,0.47083,0.3131,0.29783,0.18971,1.18661,3.14402,2.0899,1.45893,0.002278,0.002278,0.002278
119,5255.33,0.906,2.14781,1.0201,1.1858,0.51267,0.36936,0.36644,0.27737,0.48443,0.30071,0.29721,0.18862,1.18579,3.1664,2.09284,1.45766,0.002212,0.002212,0.002212
120,5299.75,0.90291,2.15225,1.00334,1.17803,0.49915,0.37331,0.36606,0.27747,0.51109,0.29389,0.29727,0.18835,1.18047,3.15756,2.10056,1.45529,0.002146,0.002146,0.002146
121,5344.8,0.90962,2.1331,1.00897,1.18636,0.50263,0.37894,0.36731,0.27935,0.43517,0.32753,0.29667,0.18698,1.17767,3.15189,2.10524,1.454,0.00208,0.00208,0.00208
122,5389.59,0.8978,2.13732,0.99339,1.1799,0.51419,0.37124,0.36641,0.27785,0.45643,0.31237,0.29583,0.188,1.17476,3.14496,2.11309,1.44962,0.002014,0.002014,0.002014
123,5433.79,0.90491,2.13767,0.99857,1.18391,0.54385,0.35705,0.36663,0.27718,0.47448,0.30255,0.29448,0.18792,1.16884,3.13904,2.13232,1.4445,0.001948,0.001948,0.001948
124,5477.88,0.90697,2.14952,1.0012,1.18293,0.50553,0.36818,0.36131,0.27381,0.50165,0.29743,0.29433,0.18592,1.17684,3.14778,2.1487,1.45201,0.001882,0.001882,0.001882
125,5522.04,0.89376,2.1138,0.9865,1.17654,0.51457,0.3588,0.36099,0.27442,0.46824,0.29685,0.29417,0.1885,1.18331,3.15235,2.14424,1.45913,0.001816,0.001816,0.001816
126,5595.44,0.90852,2.13453,0.99759,1.18318,0.49099,0.37901,0.36257,0.27454,0.43447,0.31392,0.29484,0.1895,1.18534,3.16613,2.14158,1.46206,0.00175,0.00175,0.00175
127,5691.04,0.89141,2.10627,0.99359,1.17786,0.50293,0.37524,0.36194,0.27338,0.43538,0.32133,0.294,0.18865,1.18454,3.17096,2.14383,1.46424,0.001684,0.001684,0.001684
128,5734.69,0.89783,2.10735,0.98365,1.17613,0.50055,0.37749,0.36224,0.27349,0.44751,0.31782,0.29622,0.18913,1.18698,3.18335,2.14859,1.4672,0.001618,0.001618,0.001618
129,5778.33,0.88817,2.09781,0.97272,1.17625,0.4945,0.37496,0.3602,0.27268,0.48104,0.3036,0.29526,0.18743,1.18784,3.1975,2.14727,1.46727,0.001552,0.001552,0.001552
130,5822.42,0.89287,2.09395,0.96766,1.17141,0.46559,0.38576,0.35806,0.27134,0.47469,0.30254,0.29194,0.18665,1.19314,3.1955,2.16078,1.47104,0.001486,0.001486,0.001486
131,5866.43,0.88144,2.09821,0.96292,1.1676,0.47669,0.38345,0.35479,0.27022,0.4121,0.33191,0.28836,0.18517,1.19519,3.20225,2.15931,1.47554,0.00142,0.00142,0.00142
132,5910.62,0.89282,2.09908,0.96139,1.17582,0.47317,0.38116,0.35356,0.26946,0.4379,0.31186,0.28683,0.18449,1.19312,3.20547,2.15782,1.47283,0.001354,0.001354,0.001354
